key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.9221,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,,,,,,,BOILER,LB,m,y,./images/BOILERLB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.9221,,,,,,,,0,87,87,36,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.0091,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,,,,,,,BAMBOO,HB,m,y,./images/BAMBOOHB.png,,,,,,,,,,,,,,,,,,,,,m,1,1.0091,,,,,,,,0,88,88,5,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.6484,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,,,,,,,MAGGOT,LB,z,y,./images/MAGGOTLB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.6484,,,,,,,,0,89,89,117,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.8178,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,,,,,,,SNAKE,C,m,y,./images/SNAKE.png,,,,,,,,,,,,,,,,,,,,,m,1,0.8178,,,,,,,,0,90,90,40,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.2498,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,,,,,,,BELLY,C,z,y,./images/BELLY.png,,,,,,,,,,,,,,,,,,,,,z,1,1.2498,,,,,,,,0,91,91,94,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.9365,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,,,,,,,BAKER,LB,m,y,./images/BAKERLB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.9365,,,,,,,,0,92,92,63,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.6033,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,,,,,,,CANDY,LB,m,y,./images/CANDYLB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.6033,,,,,,,,0,93,93,39,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.8965,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,,,,,,,POSTER,HB,m,y,./images/POSTERHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.8965,,,,,,,,0,94,94,53,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.754,1,,,,,,,,,,,,,,,,,,,,,,,,0.0296297,-0.33240742,0,0,0,,,,,,,BASKET,HB,m,y,./images/BASKETHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.754,,,,,,,,0,95,95,44,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.7504,1,,,,,,,,,,,,,,,,,,,,,,,,0.027777791,-0.333333346,0,0,0,,,,,,,CANOE,C,m,y,./images/CANOE.png,,,,,,,,,,,,,,,,,,,,,m,1,0.7504,,,,,,,,0,96,96,58,1,
