key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,m,1,0.6362,,,,,,,,0.6362,1,0,6,6,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,m,1,0.6403,,,,,,,,0.6403,1,0,7,7,4,1,1001,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,z,1,0.6538,,,,,,,,0.6538,1,0,8,8,11,1,1001,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,m,1,0.5448,,,,,,,,0.5448,1,0,9,9,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,z,1,0.7222,,,,,,,,0.7222,1,0,10,10,12,1,1001,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,m,1,0.7518,,,,,,,,0.7518,1,0,11,11,0,1,1001,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,z,1,0.8084,,,,,,,,0.8084,1,0,12,12,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,m,1,0.5573,,,,,,,,0.5573,1,0,13,13,2,1,1001,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,z,1,0.6418,,,,,,,,0.6418,1,0,14,14,15,1,1001,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,z,1,0.7415,,,,,,,,0.7415,1,0,15,15,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.099144965,-0.397296007,1,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,instr_done_button,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.9158,1,,,,,,,,,,,,,,,m,1,0.9158,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,0,0,14,1,PICKLE,HB,old,m,./images/PICKLEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6949,1,,,,,,,,,,,,,,,z,1,0.6949,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,1,1,131,1,NACES,LB,old,z,./images/NACESLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7856,1,,,,,,,,,,,,,,,z,1,0.7856,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,2,2,147,1,ZOLES,C,old,z,./images/ZOLES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6295,0,,,,,,,,,,,,,,,m,0,0.6295,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,3,3,100,1,DRIBS,HB,old,z,./images/DRIBSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.593,1,,,,,,,,,,,,,,,m,1,0.593,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,4,4,62,1,PURSE,HB,old,m,./images/PURSEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6772,1,,,,,,,,,,,,,,,z,1,0.6772,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,5,5,113,1,LINEW,LB,old,z,./images/LINEWLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.0326,1,,,,,,,,,,,,,,,z,1,1.0326,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,6,6,107,1,FASKS,LB,old,z,./images/FASKSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6009,1,,,,,,,,,,,,,,,m,1,0.6009,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,7,7,10,1,BELLY,C,old,m,./images/BELLY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7593,1,,,,,,,,,,,,,,,z,1,0.7593,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,8,8,122,1,BLOOT,LB,old,z,./images/BLOOTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7758,1,,,,,,,,,,,,,,,m,1,0.7758,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,9,9,9,1,RHINO,LB,old,m,./images/RHINOLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6091,1,,,,,,,,,,,,,,,m,1,0.6091,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,10,10,3,1,FINGER,LB,old,m,./images/FINGERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7464,1,,,,,,,,,,,,,,,m,1,0.7464,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,11,11,68,1,TORCH,HB,old,m,./images/TORCHHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6271,1,,,,,,,,,,,,,,,z,1,0.6271,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,12,12,129,1,PRANS,C,old,z,./images/PRANS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.659,1,,,,,,,,,,,,,,,z,1,0.659,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,13,13,138,1,PLICE,C,old,z,./images/PLICE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.9116,1,,,,,,,,,,,,,,,m,1,0.9116,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,14,14,72,1,NOOSE,LB,old,m,./images/NOOSELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5855,1,,,,,,,,,,,,,,,m,1,0.5855,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,15,15,46,1,PEARL,C,old,m,./images/PEARL.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.613,1,,,,,,,,,,,,,,,z,1,0.613,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,16,16,116,1,BALGY,LB,old,z,./images/BALGYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8288,0,,,,,,,,,,,,,,,m,0,0.8288,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,17,17,110,1,CRUNK,LB,old,z,./images/CRUNKLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7188,1,,,,,,,,,,,,,,,m,1,0.7188,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,18,18,82,1,SUNSET,C,old,m,./images/SUNSET.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6688,1,,,,,,,,,,,,,,,z,1,0.6688,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,19,19,102,1,DULLE,C,old,z,./images/DULLE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6794,1,,,,,,,,,,,,,,,m,1,0.6794,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,20,20,45,1,KITTEN,LB,old,m,./images/KITTENLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.936,1,,,,,,,,,,,,,,,m,1,0.936,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,21,21,58,1,BABOON,C,old,m,./images/BABOON.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6289,1,,,,,,,,,,,,,,,m,1,0.6289,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,22,22,2,1,BEARD,HB,old,m,./images/BEARDHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6022,1,,,,,,,,,,,,,,,m,1,0.6022,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,23,23,19,1,DOUGH,C,old,m,./images/DOUGH.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8704,1,,,,,,,,,,,,,,,z,1,0.8704,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,24,24,166,1,SHORY,HB,old,z,./images/SHORYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.9375,1,,,,,,,,,,,,,,,z,1,0.9375,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,25,25,93,1,SMONE,C,old,z,./images/SMONE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.9794,1,,,,,,,,,,,,,,,z,1,0.9794,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,26,26,92,1,PAIMS,LB,old,z,./images/PAIMSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.3289,0,,,,,,,,,,,,,,,m,0,1.3289,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,27,27,130,1,CRILL,HB,old,z,./images/CRILLHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6382,1,,,,,,,,,,,,,,,m,1,0.6382,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,28,28,40,1,SWING,C,old,m,./images/SWING.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6311,1,,,,,,,,,,,,,,,z,1,0.6311,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,29,29,86,1,AIFED,LB,old,z,./images/AIFEDLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7876,1,,,,,,,,,,,,,,,z,1,0.7876,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,30,30,165,1,TROWN,C,old,z,./images/TROWN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6216,1,,,,,,,,,,,,,,,m,1,0.6216,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,31,31,28,1,FALCON,C,old,m,./images/FALCON.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108c363c95fc665a5d08c32,19,2022-02-12_17h41.45.617,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7372,1,,,,,,,,,,,,,,,z,1,0.7372,,,,,,,,0.421532118,-0.243732639,0,0,0,,0,32,32,117,1,STEEG,C,old,z,./images/STEEG.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
