key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,1.0093,1,,,,,,,,,,,,,,z,1,1.0093,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,66,66,118,1,BAVEL,HB,z,z,./images/BAVELHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.7647,1,,,,,,,,,,,,,,m,1,0.7647,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,67,67,68,1,VALLEY,HB,m,m,./images/VALLEYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,1.2579,1,,,,,,,,,,,,,,z,1,1.2579,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,68,68,154,1,THINT,HB,z,z,./images/THINTHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.6721,1,,,,,,,,,,,,,,m,1,0.6721,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,69,69,30,1,SLOPE,LB,m,m,./images/SLOPELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.9526,1,,,,,,,,,,,,,,z,1,0.9526,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,70,70,130,1,CRILL,HB,z,z,./images/CRILLHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,1.0063,1,,,,,,,,,,,,,,z,1,1.0063,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,71,71,123,1,SEDGE,C,z,z,./images/SEDGE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.9619,1,,,,,,,,,,,,,,m,1,0.9619,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,72,72,12,1,BLOKE,LB,m,m,./images/BLOKELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.655,1,,,,,,,,,,,,,,m,1,0.655,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,73,73,50,1,PILOT,HB,m,m,./images/PILOTHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.656,1,,,,,,,,,,,,,,m,1,0.656,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,74,74,46,1,MUMMY,C,m,m,./images/MUMMY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.773,1,,,,,,,,,,,,,,z,1,0.773,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,75,75,159,1,CUDDY,C,z,z,./images/CUDDY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
