key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,1.4516,1,,,,,,,,,,,,,,z,1,1.4516,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,75,75,109,1,BURGE,HB,old,z,./images/BURGEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.5041,1,,,,,,,,,,,,,,m,1,0.5041,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,76,76,46,1,PEARL,C,old,m,./images/PEARL.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.5968,1,,,,,,,,,,,,,,m,1,0.5968,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,77,77,15,1,GREASE,LB,old,m,./images/GREASELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,1.2809,1,,,,,,,,,,,,,,m,1,1.2809,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,78,78,59,1,BURIAL,HB,old,m,./images/BURIALHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,1.2222,1,,,,,,,,,,,,,,m,1,1.2222,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,79,79,73,1,SNACK,C,old,m,./images/SNACK.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,1.0533,1,,,,,,,,,,,,,,m,1,1.0533,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,80,80,25,1,WRIST,C,old,m,./images/WRIST.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.6354,1,,,,,,,,,,,,,,m,1,0.6354,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,81,81,31,1,QUILL,C,old,m,./images/QUILL.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.4833,1,,,,,,,,,,,,,,m,1,0.4833,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,82,82,78,1,LITTER,LB,old,m,./images/LITTERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.9333,1,,,,,,,,,,,,,,z,1,0.9333,,,,,,,,0.05078125,-0.2890625,0,0,0,space,0,83,83,141,1,PLEET,C,old,z,./images/PLEET.png,308.2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,2.1782,1,,,,,,,,,,,,,,z,1,2.1782,,,,,,,,0.05078125,-0.2890625,0,0,0,,0,84,84,89,1,DRIEK,LB,old,z,./images/DRIEKLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
