key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,key_resp.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.6343,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,MOOSE,LB,z,y,./images/MOOSELB.png,,,,,,,,,,,,,,,,,,,,z,1,1.6343,,,,,,,,0,74,74,141,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,0.6723,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,COOKER,LB,z,y,./images/COOKERLB.png,,,,,,,,,,,,,,,,,,,,z,1,0.6723,,,,,,,,0,75,75,153,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,7.1839,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,DONKEY,C,m,y,./images/DONKEY.png,,,,,,,,,,,,,,,,,,,,m,1,7.1839,,,,,,,,0,76,76,19,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.8844,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,DANCER,LB,m,y,./images/DANCERLB.png,,,,,,,,,,,,,,,,,,,,m,1,1.8844,,,,,,,,0,77,77,21,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,2.8842,0,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,SCREW,LB,z,y,./images/SCREWLB.png,,,,,,,,,,,,,,,,,,,,m,0,2.8842,,,,,,,,0,78,78,108,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,3.8181,0,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,CEMENT,HB,z,y,./images/CEMENTHB.png,,,,,,,,,,,,,,,,,,,,m,0,3.8181,,,,,,,,0,79,79,158,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,2.6202,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,NOOSE,LB,z,y,./images/NOOSELB.png,,,,,,,,,,,,,,,,,,,,z,1,2.6202,,,,,,,,0,80,80,156,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,2.4285,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,SWING,C,z,y,./images/SWING.png,,,,,,,,,,,,,,,,,,,,z,1,2.4285,,,,,,,,0,81,81,124,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.8932,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,CHALK,C,m,y,./images/CHALK.png,,,,,,,,,,,,,,,,,,,,m,1,1.8932,,,,,,,,0,82,82,25,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.5054,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,space,,,,,,SAUNA,LB,m,y,./images/SAUNALB.png,29.2392,,,,,,,,,,,,,,,,,,,m,1,1.5054,,,,,,,,0,83,83,33,1,
