key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,instr_done_touch.clicked_name,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.4464,0,,,,,,,,,,,,,,z,0,0.4464,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,47,47,65,1,FARMER,LB,old,m,./images/FARMERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.4734,1,,,,,,,,,,,,,,m,1,0.4734,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,48,48,47,1,BERRY,LB,old,m,./images/BERRYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6547,1,,,,,,,,,,,,,,z,1,0.6547,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,49,49,116,1,BALGY,LB,old,z,./images/BALGYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.4275,1,,,,,,,,,,,,,,m,1,0.4275,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,50,50,33,1,MAGGOT,C,old,m,./images/MAGGOT.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8566,1,,,,,,,,,,,,,,z,1,0.8566,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,51,51,133,1,POWDY,HB,old,z,./images/POWDYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6687,1,,,,,,,,,,,,,,z,1,0.6687,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,52,52,161,1,BLAPS,LB,old,z,./images/BLAPSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.4854,1,,,,,,,,,,,,,,m,1,0.4854,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,53,53,60,1,TWINS,C,old,m,./images/TWINS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5404,0,,,,,,,,,,,,,,m,0,0.5404,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,54,54,110,1,CRUNK,LB,old,z,./images/CRUNKLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5057,1,,,,,,,,,,,,,,z,1,0.5057,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,55,55,159,1,CUDDY,C,old,z,./images/CUDDY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8425,0,,,,,,,,,,,,,,m,0,0.8425,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,56,56,99,1,BACKY,C,old,z,./images/BACKY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.4831,1,,,,,,,,,,,,,,z,1,1.4831,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,57,57,127,1,NINDY,HB,old,z,./images/NINDYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.4897,1,,,,,,,,,,,,,,m,1,0.4897,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,58,58,83,1,JUNGLE,LB,old,m,./images/JUNGLELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5548,1,,,,,,,,,,,,,,m,1,0.5548,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,59,59,18,1,JAGUAR,C,old,m,./images/JAGUAR.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6783,1,,,,,,,,,,,,,,m,1,0.6783,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,60,60,72,1,NOOSE,C,old,m,./images/NOOSE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.445,1,,,,,,,,,,,,,,m,1,0.445,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,61,61,36,1,THROAT,C,old,m,./images/THROAT.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5246,1,,,,,,,,,,,,,,z,1,0.5246,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,62,62,102,1,DULLE,C,old,z,./images/DULLE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.4611,0,,,,,,,,,,,,,,m,0,0.4611,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,63,63,128,1,GRIFT,LB,old,z,./images/GRIFTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5297,1,,,,,,,,,,,,,,m,1,0.5297,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,64,64,39,1,SHELF,C,old,m,./images/SHELF.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.1991,0,,,,,,,,,,,,,,z,0,1.1991,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,65,65,40,1,SWING,HB,old,m,./images/SWINGHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7769,1,,,,,,,,,,,,,,z,1,0.7769,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,66,66,121,1,CEERS,HB,old,z,./images/CEERSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.4432,1,,,,,,,,,,,,,,m,1,0.4432,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,67,67,9,1,RHINO,C,old,m,./images/RHINO.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7267,1,,,,,,,,,,,,,,z,1,0.7267,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,68,68,113,1,LINEW,LB,old,z,./images/LINEWLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5428,1,,,,,,,,,,,,,,m,1,0.5428,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,69,69,24,1,SCREW,C,old,m,./images/SCREW.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5676,1,,,,,,,,,,,,,,m,1,0.5676,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,70,70,74,1,CEMENT,LB,old,m,./images/CEMENTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5417,1,,,,,,,,,,,,,,m,1,0.5417,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,71,71,79,1,CRUST,HB,old,m,./images/CRUSTHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5664,1,,,,,,,,,,,,,,m,1,0.5664,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,72,72,17,1,SKIING,LB,old,m,./images/SKIINGLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5773,1,,,,,,,,,,,,,,z,1,0.5773,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,73,73,108,1,GRUET,C,old,z,./images/GRUET.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
