key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,1.0665,1,,,,,,,,,,,,,,z,1,1.0665,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,23,23,143,1,MONGS,LB,old,z,./images/MONGSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.8548,1,,,,,,,,,,,,,,z,1,0.8548,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,24,24,150,1,NOOLS,C,old,z,./images/NOOLS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.6939,1,,,,,,,,,,,,,,z,1,0.6939,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,25,25,138,1,PLICE,C,old,z,./images/PLICE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.6472,0,,,,,,,,,,,,,,m,0,0.6472,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,26,26,85,1,CHULK,HB,old,z,./images/CHULKHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.8387,1,,,,,,,,,,,,,,m,1,0.8387,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,27,27,83,1,JUNGLE,C,old,m,./images/JUNGLE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.6719,1,,,,,,,,,,,,,,m,1,0.6719,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,28,28,74,1,CEMENT,C,old,m,./images/CEMENT.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.7987,1,,,,,,,,,,,,,,z,1,0.7987,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,29,29,165,1,TROWN,C,old,z,./images/TROWN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.9327,1,,,,,,,,,,,,,,m,1,0.9327,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,30,30,79,1,CRUST,LB,old,m,./images/CRUSTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.7139,1,,,,,,,,,,,,,,z,1,0.7139,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,31,31,86,1,AIFED,LB,old,z,./images/AIFEDLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.7018,1,,,,,,,,,,,,,,z,1,0.7018,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,32,32,160,1,VEETS,HB,old,z,./images/VEETSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.8665,1,,,,,,,,,,,,,,m,1,0.8665,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,33,33,45,1,KITTEN,HB,old,m,./images/KITTENHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,1.3515,1,,,,,,,,,,,,,,m,1,1.3515,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,34,34,72,1,NOOSE,HB,old,m,./images/NOOSEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.7357,1,,,,,,,,,,,,,,z,1,0.7357,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,35,35,162,1,LEICH,C,old,z,./images/LEICH.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.5642,1,,,,,,,,,,,,,,m,1,0.5642,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,36,36,26,1,SMOKER,C,old,m,./images/SMOKER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,0.7002,0,,,,,,,,,,,,,,m,0,0.7002,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,37,37,90,1,NEAST,C,old,z,./images/NEAST.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5eeacbcbb570dc1ab706417a,24,2022-02-12_14h52.43.638,lexical_decision_task_DD_L2,2021.2.3,Win32,59.28736586,,,,,,,,,,,,1.2688,1,,,,,,,,,,,,,,m,1,1.2688,,,,,,,,-0.003333259,-0.370833359,0,0,0,,0,38,38,54,1,TRIPOD,HB,old,m,./images/TRIPODHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
