key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,key_resp.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.8767,1,,,,,,,,,,,,,,,m,1,0.8767,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,108,108,40,1,SNAKE,HB,old,m,./images/SNAKEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.7545,1,,,,,,,,,,,,,,,z,1,0.7545,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,109,109,98,1,BAMPS,LB,old,z,./images/BAMPSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.6957,1,,,,,,,,,,,,,,,z,1,0.6957,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,110,110,164,1,SGREW,LB,old,z,./images/SGREWLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.6429,1,,,,,,,,,,,,,,,z,1,0.6429,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,111,111,120,1,RINED,C,old,z,./images/RINED.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,1.0869,1,,,,,,,,,,,,,,,m,1,1.0869,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,112,112,35,1,LLAMA,LB,old,m,./images/LLAMALB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.7183,1,,,,,,,,,,,,,,,m,1,0.7183,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,113,113,81,1,DRILL,C,old,m,./images/DRILL.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.7574,0,,,,,,,,,,,,,,,m,0,0.7574,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,114,114,85,1,CHULK,HB,old,z,./images/CHULKHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.5904,1,,,,,,,,,,,,,,,z,1,0.5904,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,115,115,131,1,NACES,LB,old,z,./images/NACESLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,1.089,1,,,,,,,,,,,,,,,z,1,1.089,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,116,116,127,1,NINDY,HB,old,z,./images/NINDYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.6574,1,,,,,,,,,,,,,,,z,1,0.6574,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,117,117,137,1,JOOST,LB,old,z,./images/JOOSTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.8107,0,,,,,,,,,,,,,,,m,0,0.8107,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,118,118,84,1,HAXES,C,old,z,./images/HAXES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.6342,1,,,,,,,,,,,,,,,m,1,0.6342,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,119,119,42,1,CHAIN,C,old,m,./images/CHAIN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.7914,1,,,,,,,,,,,,,,,m,1,0.7914,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,120,120,61,1,ARTIST,HB,old,m,./images/ARTISTHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.584,1,,,,,,,,,,,,,,,m,1,0.584,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,121,121,62,1,MAMMAL,LB,old,m,./images/MAMMALLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.8738,1,,,,,,,,,,,,,,,z,1,0.8738,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,122,122,148,1,JOMS,HB,old,z,./images/JOMSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,1.0418,0,,,,,,,,,,,,,,,m,0,1.0418,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,123,123,154,1,THINT,HB,old,z,./images/THINTHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.6057,1,,,,,,,,,,,,,,,z,1,0.6057,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,124,124,86,1,AIFED,LB,old,z,./images/AIFEDLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.7512,1,,,,,,,,,,,,,,,z,1,0.7512,,,,,,,,0.001707707,-0.404891498,1,0,0,,0,125,125,129,1,PRANS,C,old,z,./images/PRANS.png,break_done_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
