key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,1.1513,0,,,,,,,,,,,,,,z,0,1.1513,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,93,93,88,1,GLUSH,HB,old,n,./images/GLUSHHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.5997,0,,,,,,,,,,,,,,m,0,0.5997,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,94,94,85,1,CHULK,HB,old,n,./images/CHULKHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.7369,0,,,,,,,,,,,,,,m,0,0.7369,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,95,95,61,1,ARTIST,C,old,y,./images/ARTIST.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.7217,0,,,,,,,,,,,,,,m,0,0.7217,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,96,96,6,1,STAIN,LB,old,y,./images/STAINLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.9107,0,,,,,,,,,,,,,,z,0,0.9107,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,97,97,159,1,CUDDY,C,old,n,./images/CUDDY.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.6389,0,,,,,,,,,,,,,,m,0,0.6389,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,98,98,134,1,TROSS,LB,old,n,./images/TROSSLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,2.0573,0,,,,,,,,,,,,,,m,0,2.0573,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,99,99,163,1,GAMBA,HB,old,n,./images/GAMBAHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.7926,0,,,,,,,,,,,,,,z,0,0.7926,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,100,100,141,1,PLEET,C,old,n,./images/PLEET.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.6269,0,,,,,,,,,,,,,,m,0,0.6269,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,101,101,81,1,DRILL,LB,old,y,./images/DRILLLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.6173,0,,,,,,,,,,,,,,m,0,0.6173,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,102,102,42,1,CHAIN,LB,old,y,./images/CHAINLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.9674,0,,,,,,,,,,,,,,z,0,0.9674,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,103,103,105,1,MOKER,C,old,n,./images/MOKER.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.5195,0,,,,,,,,,,,,,,m,0,0.5195,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,104,104,37,1,TIGER,C,old,y,./images/TIGER.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,1.3341,0,,,,,,,,,,,,,,m,0,1.3341,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,105,105,56,1,HEATER,HB,old,y,./images/HEATERHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.866,0,,,,,,,,,,,,,,m,0,0.866,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,106,106,47,1,LAGOON,HB,old,y,./images/LAGOONHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.5004,0,,,,,,,,,,,,,,m,0,0.5004,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,107,107,96,1,KEAMS,C,old,n,./images/KEAMS.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.5741,0,,,,,,,,,,,,,,z,0,0.5741,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,108,108,126,1,GUELS,C,old,n,./images/GUELS.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.5952,0,,,,,,,,,,,,,,m,0,0.5952,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,109,109,79,1,RULER,C,old,y,./images/RULER.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.7766,0,,,,,,,,,,,,,,m,0,0.7766,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,110,110,38,1,ENGINE,HB,old,y,./images/ENGINEHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,1.0841,0,,,,,,,,,,,,,,m,0,1.0841,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,111,111,29,1,PISTOL,HB,old,y,./images/PISTOLHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.783,0,,,,,,,,,,,,,,z,0,0.783,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,112,112,137,1,JOOST,LB,old,n,./images/JOOSTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,1.0197,0,,,,,,,,,,,,,,m,0,1.0197,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,113,113,152,1,FRAIN,LB,old,n,./images/FRAINLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,1.2595,0,,,,,,,,,,,,,,m,0,1.2595,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,114,114,65,1,SPINE,HB,old,y,./images/SPINEHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,1.1724,0,,,,,,,,,,,,,,m,0,1.1724,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,115,115,109,1,BURGE,HB,old,n,./images/BURGEHB.png,,,,,,,,,,,,,,,,,,,,,,
