key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,key_resp_2.rt,break_done_keyboard.rt,break_done_touch.clicked_name,key_resp.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,5.0265,1,,,,,,,,,,,,,,,0,-0.511205977,-0.264140875,1,0,0,5.0265,button_left_main,-0.511205977,-0.264140875,1,0,0,,0,6,6,85,1,CHULK,HB,old,z,./images/CHULKHB.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,1.3866,1,,,,,,,,,,,,,,,0,-0.511205977,-0.264140875,1,0,0,1.3866,button_left_main,-0.511205977,-0.264140875,1,0,0,,0,7,7,160,1,VEETS,HB,old,z,./images/VEETSHB.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,2.2536,1,,,,,,,,,,,,,,,0,0.408751334,-0.285485592,1,0,0,2.2536,button_right_main,0.408751334,-0.285485592,1,0,0,,0,8,8,2,1,STOVE,C,old,m,./images/STOVE.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,1.2534,1,,,,,,,,,,,,,,,0,-0.28601921,-0.23959445,1,0,0,1.2534,button_left_main,-0.28601921,-0.23959445,1,0,0,,0,9,9,132,1,SCIFF,C,old,z,./images/SCIFF.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,2.0006,1,,,,,,,,,,,,,,,0,-0.290288154,-0.254535752,1,0,0,2.0006,button_left_main,-0.290288154,-0.254535752,1,0,0,,0,10,10,112,1,MYING,HB,old,z,./images/MYINGHB.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,0.9998,1,,,,,,,,,,,,,,,0,-0.290288154,-0.254535752,1,0,0,0.9998,button_left_main,-0.290288154,-0.254535752,1,0,0,,0,11,11,124,1,TUNCH,HB,old,z,./images/TUNCHHB.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,1.3867,1,,,,,,,,,,,,,,,0,0.161152615,-0.298292423,1,0,0,1.3867,button_right_main,0.209178228,-0.306830309,1,0,0,,0,12,12,71,1,BUBBLE,C,old,m,./images/BUBBLE.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,2.7032,0,,,,,,,,,,,,,,z,0,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,13,13,24,1,FLESH,HB,old,m,./images/FLESHHB.png,2.7032,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,0.9771,1,,,,,,,,,,,,,,m,1,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,14,14,28,1,CASINO,LB,old,m,./images/CASINOLB.png,0.9771,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,0.7205,1,,,,,,,,,,,,,,z,1,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,15,15,120,1,RINED,C,old,z,./images/RINED.png,0.7205,,,,,,,,,,,,,,,,,,,,,,,
