key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.888,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,COLLAR,LB,old,y,./images/COLLARLB.png,,,,,,,m,0,0.888,,,,,,,,0,71,71,15,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.765,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,GRAIN,LB,new,y,./images/GRAINLB.png,,,,,,,z,0,0.765,,,,,,,,0,72,72,159,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.811,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,POODLE,LB,new,y,./images/POODLELB.png,,,,,,,z,0,0.811,,,,,,,,0,73,73,165,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.706,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,STOVE,HB,old,y,./images/STOVEHB.png,,,,,,,m,0,0.706,,,,,,,,0,74,74,2,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.694,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,GARDEN,C,old,y,./images/GARDEN.png,,,,,,,m,0,0.694,,,,,,,,0,75,75,10,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.639,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,BISHOP,C,old,y,./images/BISHOP.png,,,,,,,m,0,0.639,,,,,,,,0,76,76,49,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.812,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,SNACK,C,new,y,./images/SNACK.png,,,,,,,z,0,0.812,,,,,,,,0,77,77,157,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.638,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,TOMATO,LB,new,y,./images/TOMATOLB.png,,,,,,,z,0,0.638,,,,,,,,0,78,78,84,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.612,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,ATTIC,LB,new,y,./images/ATTICLB.png,,,,,,,z,0,0.612,,,,,,,,0,79,79,111,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.689,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,CASINO,C,old,y,./images/CASINO.png,,,,,,,m,0,0.689,,,,,,,,0,80,80,28,1
