key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.567,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,MOOSE,C,m,m,./images/MOOSE.png,,,,,,,,m,1,0.567,,,,,,,,0,56,56,57,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.836,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,TWINS,C,m,m,./images/TWINS.png,,,,,,,,m,1,0.836,,,,,,,,0,57,57,60,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,2.348,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,GLOVE,HB,z,m,./images/GLOVEHB.png,,,,,,,,z,1,2.348,,,,,,,,0,58,58,157,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.888,0,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,BURIAL,LB,m,m,./images/BURIALLB.png,,,,,,,,z,0,0.888,,,,,,,,0,59,59,59,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.609,0,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,BAMBOO,LB,z,m,./images/BAMBOOLB.png,,,,,,,,m,0,0.609,,,,,,,,0,60,60,89,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.66,0,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,CHERRY,C,z,m,./images/CHERRY.png,,,,,,,,m,0,0.66,,,,,,,,0,61,61,138,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.664,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,MIRROR,C,m,m,./images/MIRROR.png,,,,,,,,m,1,0.664,,,,,,,,0,62,62,63,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,PASTA,LB,m,m,./images/PASTALB.png,,,,,,,,z,0,0.75,,,,,,,,0,63,63,5,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.897,0,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,JUNGLE,LB,m,m,./images/JUNGLELB.png,,,,,,,,z,0,0.897,,,,,,,,0,64,64,83,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.631,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,SUNSET,HB,m,m,./images/SUNSETHB.png,,,,,,,,m,1,0.631,,,,,,,,0,65,65,82,1
