key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,break_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,instr_done_touch.clicked_name,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.67,0,,,,,,,,,,,,,,,,,,,,,,,,-0.065740728,0.224999996,0,0,0,,,,,,,BIRTH,HB,m,m,./images/BIRTHHB.png,,,,,,,,,z,0,0.67,,,,,,,,0,147,147,37,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.5624,0,,,,,,,,,,,,,,,,,,,,,,,,-0.065740728,0.224999996,0,0,0,,,,,,,CLOWN,HB,z,m,./images/CLOWNHB.png,,,,,,,,,m,0,0.5624,,,,,,,,0,148,148,106,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.7294,1,,,,,,,,,,,,,,,,,,,,,,,,-0.064814803,0.224999996,0,0,0,,,,,,,JELLY,HB,m,m,./images/JELLYHB.png,,,,,,,,,m,1,0.7294,,,,,,,,0,149,149,64,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.8374,1,,,,,,,,,,,,,,,,,,,,,,,,-0.064814803,0.224999996,0,0,0,,,,,,,GREASE,C,m,m,./images/GREASE.png,,,,,,,,,m,1,0.8374,,,,,,,,0,150,150,15,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.8733,0,,,,,,,,,,,,,,,,,,,,,,,,-0.064814803,0.224999996,0,0,0,,,,,,,BOILER,C,z,m,./images/BOILER.png,,,,,,,,,m,0,0.8733,,,,,,,,0,151,151,120,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.6168,0,,,,,,,,,,,,,,,,,,,,,,,,-0.064814803,0.224999996,0,0,0,,,,,,,ENGINE,LB,z,m,./images/ENGINELB.png,,,,,,,,,m,0,0.6168,,,,,,,,0,152,152,122,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,1.0421,1,,,,,,,,,,,,,,,,,,,,,,,,-0.067592524,0.224999996,0,0,0,,,,,,,POKER,HB,z,m,./images/POKERHB.png,,,,,,,,,z,1,1.0421,,,,,,,,0,153,153,151,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.7254,0,,,,,,,,,,,,,,,,,,,,,,,,-0.067592524,0.224999996,0,0,0,,,,,,,BUNNY,HB,z,m,./images/BUNNYHB.png,,,,,,,,,m,0,0.7254,,,,,,,,0,154,154,97,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.6961,0,,,,,,,,,,,,,,,,,,,,,,,,-0.067592524,0.224999996,0,0,0,,,,,,,COOKER,C,m,m,./images/COOKER.png,,,,,,,,,z,0,0.6961,,,,,,,,0,155,155,69,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.6751,0,,,,,,,,,,,,,,,,,,,,,,,,-0.067592524,0.224999996,0,0,0,,,,,,,FINGER,C,m,m,./images/FINGER.png,,,,,,,,,z,0,0.6751,,,,,,,,0,156,156,3,1
