key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.549,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,JELLY,LB,m,y,./images/JELLYLB.png,,,,,,,m,1,0.549,,,,,,,,0,15,15,64,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,2.333,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,BURIAL,C,m,y,./images/BURIAL.png,,,,,,,m,1,2.333,,,,,,,,0,16,16,59,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,2.673,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,FOLDER,HB,m,y,./images/FOLDERHB.png,,,,,,,m,1,2.673,,,,,,,,0,17,17,42,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.747,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,BANANA,LB,z,y,./images/BANANALB.png,,,,,,,z,1,0.747,,,,,,,,0,18,18,154,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.724,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,SHIELD,HB,z,y,./images/SHIELDHB.png,,,,,,,z,1,0.724,,,,,,,,0,19,19,132,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.957,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,HEATER,C,z,y,./images/HEATER.png,,,,,,,z,1,0.957,,,,,,,,0,20,20,140,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,SPINE,C,z,y,./images/SPINE.png,,,,,,,z,1,0.7,,,,,,,,0,21,21,149,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.646,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,SCREW,HB,m,y,./images/SCREWHB.png,,,,,,,m,1,0.646,,,,,,,,0,22,22,24,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.609,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,LITTER,HB,m,y,./images/LITTERHB.png,,,,,,,m,1,0.609,,,,,,,,0,23,23,78,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.615,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,SAILOR,LB,m,y,./images/SAILORLB.png,,,,,,,m,1,0.615,,,,,,,,0,24,24,67,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.676,0,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,PACKET,C,m,y,./images/PACKET.png,,,,,,,z,0,0.676,,,,,,,,0,25,25,56,1
