key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.9155,0,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,CURRY,LB,m,y,./images/CURRYLB.png,,,,,,,z,0,0.9155,,,,,,,,0,142,142,60,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,2.0659,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,CARPET,HB,z,y,./images/CARPETHB.png,,,,,,,z,1,2.0659,,,,,,,,0,143,143,137,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8254,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,BURIAL,HB,z,y,./images/BURIALHB.png,,,,,,,z,1,0.8254,,,,,,,,0,144,144,143,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.1333,0,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,VALLEY,HB,m,y,./images/VALLEYHB.png,,,,,,,z,0,1.1333,,,,,,,,0,145,145,68,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.1715,0,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,CLOTH,HB,m,y,./images/CLOTHHB.png,,,,,,,z,0,1.1715,,,,,,,,0,146,146,23,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8066,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,CEMENT,HB,z,y,./images/CEMENTHB.png,,,,,,,z,1,0.8066,,,,,,,,0,147,147,158,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.965,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,MUFFIN,C,z,y,./images/MUFFIN.png,,,,,,,z,1,0.965,,,,,,,,0,148,148,139,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.731,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,WHISKY,HB,m,y,./images/WHISKYHB.png,,,,,,,m,1,0.731,,,,,,,,0,149,149,83,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.765,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,GRAIN,LB,z,y,./images/GRAINLB.png,,,,,,,z,1,0.765,,,,,,,,0,150,150,159,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5689,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,CASINO,C,m,y,./images/CASINO.png,,,,,,,m,1,0.5689,,,,,,,,0,151,151,28,1
