key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.0509,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,SHORE,HB,z,y,./images/SHOREHB.png,,,,,,,,z,1,1.0509,,,,,,,,0,154,154,96,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,3.4819,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,DRILL,HB,m,y,./images/DRILLHB.png,,,,,,,,z,0,3.4819,,,,,,,,0,155,155,81,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.998,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,CLOUD,C,m,y,./images/CLOUD.png,,,,,,,,m,1,0.998,,,,,,,,0,156,156,26,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.4584,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,TOWEL,LB,m,y,./images/TOWELLB.png,,,,,,,,z,0,1.4584,,,,,,,,0,157,157,1,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6155,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,CANOE,LB,m,y,./images/CANOELB.png,,,,,,,,m,1,0.6155,,,,,,,,0,158,158,58,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,2.7331,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,HOCKEY,C,m,y,./images/HOCKEY.png,,,,,,,,z,0,2.7331,,,,,,,,0,159,159,32,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,2.2205,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,GLOVE,LB,m,y,./images/GLOVELB.png,,,,,,,,m,1,2.2205,,,,,,,,0,160,160,73,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.0497,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,CRUST,LB,z,y,./images/CRUSTLB.png,,,,,,,,z,1,1.0497,,,,,,,,0,161,161,163,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.277,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,DESERT,LB,m,y,./images/DESERTLB.png,,,,,,,,m,1,1.277,,,,,,,,0,162,162,52,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.2418,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,CURRY,HB,m,y,./images/CURRYHB.png,,,,,,,,z,0,1.2418,,,,,,,,0,163,163,60,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6567,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,COOKER,HB,z,y,./images/COOKERHB.png,,,,,,,,m,0,0.6567,,,,,,,,0,164,164,153,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.9015,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,SLOPE,HB,m,y,./images/SLOPEHB.png,,,,,,,,z,0,0.9015,,,,,,,,0,165,165,30,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.5971,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,GARDEN,LB,m,y,./images/GARDENLB.png,,,,,,,,m,1,0.5971,,,,,,,,0,166,166,10,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6992,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,NOOSE,HB,z,y,./images/NOOSEHB.png,,,,,,,,z,1,0.6992,,,,,,,,0,167,167,156,1,
