key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.814,1,,,,,,,,,,,,,,,,,,,,,,,,0.332222222,-0.281111111,1,0,0,,,,,,,SHORE,HB,m,y,./images/SHOREHB.png,,,,,,,,0,0.332222222,-0.281111111,1,0,0,0.814,button_right_test,0,45,45,12,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.848,1,,,,,,,,,,,,,,,,,,,,,,,,-0.343333333,-0.283333333,1,0,0,,,,,,,BOILER,HB,z,y,./images/BOILERHB.png,,,,,,,,0,-0.343333333,-0.283333333,1,0,0,0.848,button_left_test,0,46,46,120,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.096,0,,,,,,,,,,,,,,,,,,,,,,,,0.237777778,-0.381111111,1,0,0,,,,,,,JUMPER,C,z,y,./images/JUMPER.png,,,,,,,,0,0.237777778,-0.381111111,1,0,0,1.096,button_right_test,0,47,47,158,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.846,1,,,,,,,,,,,,,,,,,,,,,,,,-0.306666667,-0.311111111,1,0,0,,,,,,,BANANA,LB,z,y,./images/BANANALB.png,,,,,,,,0,-0.306666667,-0.311111111,1,0,0,0.846,button_left_test,0,48,48,154,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,3.779,1,,,,,,,,,,,,,,,,,,,,,,,,0.266666667,-0.307777778,1,0,0,,,,,,,BERRY,C,m,y,./images/BERRY.png,,,,,,,,0,0.266666667,-0.307777778,1,0,0,3.779,button_right_test,0,49,49,47,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.114,1,,,,,,,,,,,,,,,,,,,,,,,,-0.293333333,-0.224444444,1,0,0,,,,,,,HEATER,C,z,y,./images/HEATER.png,,,,,,,,0,-0.293333333,-0.224444444,1,0,0,1.114,button_left_test,0,50,50,140,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.231,0,,,,,,,,,,,,,,,,,,,,,,,,0.332222222,-0.34,1,0,0,,,,,,,BLOKE,HB,z,y,./images/BLOKEHB.png,,,,,,,,0,0.332222222,-0.34,1,0,0,1.231,button_right_test,0,51,51,96,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.764,0,,,,,,,,,,,,,,,,,,,,,,,,-0.302222222,-0.255555556,1,0,0,,,,,,,STRING,C,m,y,./images/STRING.png,,,,,,,,0,-0.302222222,-0.255555556,1,0,0,0.764,button_left_test,0,52,52,41,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.747,0,,,,,,,,,,,,,,,,,,,,,,,,0.266666667,-0.322222222,1,0,0,,,,,,,POKER,LB,z,y,./images/POKERLB.png,,,,,,,,0,0.266666667,-0.322222222,1,0,0,0.747,button_right_test,0,53,53,151,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.83,1,,,,,,,,,,,,,,,,,,,,,,,,0.565555556,-0.223333333,1,0,0,,,,,,,WALRUS,C,m,y,./images/WALRUS.png,,,,,,,,0,0.565555556,-0.223333333,1,0,0,1.83,button_right_test,0,54,54,23,1,
