key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,break_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5543,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,TRIPOD,LB,old,y,./images/TRIPODLB.png,,,,,,,,,m,0,0.5543,,,,,,,,0,99,99,54,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8517,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,FERRY,LB,new,y,./images/FERRYLB.png,,,,,,,,,z,0,0.8517,,,,,,,,0,100,100,141,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8305,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,LLAMA,HB,new,y,./images/LLAMAHB.png,,,,,,,,,z,0,0.8305,,,,,,,,0,101,101,119,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7203,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,BAMBOO,HB,new,y,./images/BAMBOOHB.png,,,,,,,,,z,0,0.7203,,,,,,,,0,102,102,89,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.0882,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,CEMENT,HB,old,y,./images/CEMENTHB.png,,,,,,,,,z,0,1.0882,,,,,,,,0,103,103,74,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7475,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,STEAK,C,new,y,./images/STEAK.png,,,,,,,,,z,0,0.7475,,,,,,,,0,104,104,115,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6666,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,PLANK,C,old,y,./images/PLANK.png,,,,,,,,,m,0,0.6666,,,,,,,,0,105,105,1,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5371,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,GRAIN,LB,old,y,./images/GRAINLB.png,,,,,,,,,m,0,0.5371,,,,,,,,0,106,106,75,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8642,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,CLOWN,C,new,y,./images/CLOWN.png,,,,,,,,,z,0,0.8642,,,,,,,,0,107,107,106,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.9464,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,PEACH,HB,old,y,./images/PEACHHB.png,,,,,,,,,m,0,0.9464,,,,,,,,0,108,108,35,1
