key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,1.5238,1,,,,,,,,,,,,,,z,1,1.5238,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,113,113,100,1,DRIBS,HB,old,z,./images/DRIBSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,1.2447,1,,,,,,,,,,,,,,z,1,1.2447,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,114,114,109,1,BURGE,HB,old,z,./images/BURGEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.8057,1,,,,,,,,,,,,,,z,1,0.8057,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,115,115,156,1,HIXES,C,old,z,./images/HIXES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.7866,1,,,,,,,,,,,,,,z,1,0.7866,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,116,116,153,1,CLUPS,C,old,z,./images/CLUPS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,1.3788,1,,,,,,,,,,,,,,z,1,1.3788,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,117,117,85,1,CHULK,HB,old,z,./images/CHULKHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,1.3952,1,,,,,,,,,,,,,,m,1,1.3952,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,118,118,42,1,CHAIN,HB,old,m,./images/CHAINHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.8433,1,,,,,,,,,,,,,,z,1,0.8433,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,119,119,122,1,BLOOT,LB,old,z,./images/BLOOTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.6772,1,,,,,,,,,,,,,,m,1,0.6772,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,120,120,50,1,PILOT,C,old,m,./images/PILOT.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.6792,1,,,,,,,,,,,,,,m,1,0.6792,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,121,121,22,1,CLOWN,LB,old,m,./images/CLOWNLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,1.0123,1,,,,,,,,,,,,,,z,1,1.0123,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,122,122,111,1,HOSSE,C,old,z,./images/HOSSE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
