key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,-0.012036981,-0.365740797,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,6108696dc9d16e886749e495,20,2022-02-12_13h49.52.708,lexical_decision_task_DD_L3,2021.2.3,Win32,59.74072525,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108696dc9d16e886749e495,20,2022-02-12_13h49.52.708,lexical_decision_task_DD_L3,2021.2.3,Win32,59.74072525,,,,,,,,,,,2.2823,1,,,,,,,,,,,,,,z,1,2.2823,,,,,,,,-0.014814758,-0.364814843,0,0,0,,0,0,0,101,1,GLEET,LB,old,z,./images/GLEETLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108696dc9d16e886749e495,20,2022-02-12_13h49.52.708,lexical_decision_task_DD_L3,2021.2.3,Win32,59.74072525,,,,,,,,,,,2.36,1,,,,,,,,,,,,,,z,1,2.36,,,,,,,,-0.014814758,-0.364814843,0,0,0,,0,1,1,112,1,MYING,HB,old,z,./images/MYINGHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108696dc9d16e886749e495,20,2022-02-12_13h49.52.708,lexical_decision_task_DD_L3,2021.2.3,Win32,59.74072525,,,,,,,,,,,0.5857,1,,,,,,,,,,,,,,m,1,0.5857,,,,,,,,-0.014814758,-0.364814843,0,0,0,,0,2,2,25,1,WRIST,C,old,m,./images/WRIST.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108696dc9d16e886749e495,20,2022-02-12_13h49.52.708,lexical_decision_task_DD_L3,2021.2.3,Win32,59.74072525,,,,,,,,,,,0.6364,1,,,,,,,,,,,,,,m,1,0.6364,,,,,,,,-0.014814758,-0.364814843,0,0,0,,0,3,3,77,1,COUCH,HB,old,m,./images/COUCHHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108696dc9d16e886749e495,20,2022-02-12_13h49.52.708,lexical_decision_task_DD_L3,2021.2.3,Win32,59.74072525,,,,,,,,,,,0.7,1,,,,,,,,,,,,,,z,1,0.7,,,,,,,,-0.014814758,-0.364814843,0,0,0,,0,4,4,119,1,PAFER,LB,old,z,./images/PAFERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108696dc9d16e886749e495,20,2022-02-12_13h49.52.708,lexical_decision_task_DD_L3,2021.2.3,Win32,59.74072525,,,,,,,,,,,0.6903,1,,,,,,,,,,,,,,m,1,0.6903,,,,,,,,-0.014814758,-0.364814843,0,0,0,,0,5,5,68,1,TORCH,HB,old,m,./images/TORCHHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108696dc9d16e886749e495,20,2022-02-12_13h49.52.708,lexical_decision_task_DD_L3,2021.2.3,Win32,59.74072525,,,,,,,,,,,0.8259,1,,,,,,,,,,,,,,m,1,0.8259,,,,,,,,-0.014814758,-0.364814843,0,0,0,,0,6,6,59,1,BURIAL,HB,old,m,./images/BURIALHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108696dc9d16e886749e495,20,2022-02-12_13h49.52.708,lexical_decision_task_DD_L3,2021.2.3,Win32,59.74072525,,,,,,,,,,,0.5435,1,,,,,,,,,,,,,,m,1,0.5435,,,,,,,,-0.014814758,-0.364814843,0,0,0,,0,7,7,82,1,SUNSET,C,old,m,./images/SUNSET.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6108696dc9d16e886749e495,20,2022-02-12_13h49.52.708,lexical_decision_task_DD_L3,2021.2.3,Win32,59.74072525,,,,,,,,,,,0.8072,1,,,,,,,,,,,,,,z,1,0.8072,,,,,,,,-0.014814758,-0.364814843,0,0,0,,0,8,8,108,1,GRUET,C,old,z,./images/GRUET.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
